"w1","293.15","298.15","303.15","308.15","313.15"
"0","0.00002221","0.00002814","0.00003669","0.00004333","0.00005551"
"0.1","0.00004127","0.00004945","0.00006341","0.00008356","0.00010595"
"0.2","0.00007694","0.00009936","0.00011978","0.00016920","0.00022132"
"0.3","0.00015658","0.00019999","0.00026760","0.00034263","0.00046564"
"0.4","0.00028135","0.00036588","0.00048434","0.00060356","0.00082511"
"0.5","0.00047952","0.00063142","0.00077933","0.00100471","0.00131910"
"0.6","0.00072664","0.00088818","0.00114512","0.00145193","0.00188327"
"0.7","0.00094885","0.00112023","0.00146893","0.00180143","0.00229275"
"0.8","0.00108949","0.00128299","0.00166198","0.00195669","0.00247170"
"0.9","0.00100177","0.00116956","0.00141626","0.00178651","0.00214721"
"1","0.00074706","0.00091845","0.00108661","0.00129894","0.00162274"
